executed_at,platform,application,service,transaction_id,trade_uuid,type,amount,uti,caaj_from,caaj_to,comment
2022-07-11 13:51:09,osmosis,osmosis,osmosis,578068C04C5F9EDDCCAA401424067B966662EBC4EB8A018159C12821BBCDBE7B,30391deb-8c8a-4f7f-a889-217b361e3701,receive,24.5,atom,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-11 13:53:19,osmosis,osmosis,swap,75656E62AB470BA65C8A99F3DC003B982F5A2ADF4AD3E2E103338C8BDF31F512,90466d55-ba16-4202-8ac1-62eabe81e1ac,lose,12.25,atom,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,
2022-07-11 13:53:19,osmosis,osmosis,swap,75656E62AB470BA65C8A99F3DC003B982F5A2ADF4AD3E2E103338C8BDF31F512,90466d55-ba16-4202-8ac1-62eabe81e1ac,get,130.459542,osmo,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-11 14:00:35,osmosis,osmosis,swap,299A4FC05CEEEB3456398544453338C7A7F2E22853EA44CC6BD6B9DF2325E05C,6196f5f1-8f73-49c8-9f61-d80fc7d6348f,lose,2,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo10venxtvdglryxkdmvjr8wa6n3ugja40rewddlxtg0pr30vmkf47sllgslg,
2022-07-11 14:00:35,osmosis,osmosis,swap,299A4FC05CEEEB3456398544453338C7A7F2E22853EA44CC6BD6B9DF2325E05C,6196f5f1-8f73-49c8-9f61-d80fc7d6348f,get,2.414482,osmo,osmo10venxtvdglryxkdmvjr8wa6n3ugja40rewddlxtg0pr30vmkf47sllgslg,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-11 14:01:26,osmosis,osmosis,osmosis,06588B08C1524F292ACAFCE6D2DE6B74F31F5339BE615B0D6C38BDFDDCD7CC89,,send,105.2375,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,axelar1j4ymyxvxfcsy0cw6k0vec7q639lf6mq0adpun379rx6e9t4culast8ghgw,
2022-07-11 14:01:26,osmosis,osmosis,osmosis,06588B08C1524F292ACAFCE6D2DE6B74F31F5339BE615B0D6C38BDFDDCD7CC89,,lose,0.00375,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-11 14:15:10,osmosis,osmosis,swap,1E7903A00199783906664BCF2226027B1DC19B8D40A145C9A49997CC53B52C15,36448b17-4334-4a86-9170-1ea639688d4a,get,39.677532,juno,osmo1tusadtwjnzzyakm94t5gjqr4dlkdcp63hctlql6xvslvkf7kkdws5lfyxc,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-11 14:15:10,osmosis,osmosis,swap,1E7903A00199783906664BCF2226027B1DC19B8D40A145C9A49997CC53B52C15,36448b17-4334-4a86-9170-1ea639688d4a,lose,12.25,atom,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1tusadtwjnzzyakm94t5gjqr4dlkdcp63hctlql6xvslvkf7kkdws5lfyxc,
2022-07-11 14:15:59,osmosis,osmosis,osmosis,F97A7DC7E61CFB5B11BD00D85D89541BE4997F0D999975E7B69F4BD2DE8C9B00,,send,39.677532,juno,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,juno17vm6qd44wua7lgptcge3w45wufze8lcvyskqza,
2022-07-11 14:15:59,osmosis,osmosis,osmosis,F97A7DC7E61CFB5B11BD00D85D89541BE4997F0D999975E7B69F4BD2DE8C9B00,,lose,0.00325,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-18 10:24:08,osmosis,osmosis,staking,2847D5D5F72B42F41C13A7082881DA0B8AE8C242727C73C3FFC4623C5FF4173A,63937108-4a82-4ae6-9dd1-c78d4104df34,deposit,8,osmo,osmo1hwln2wmja39xw54n6khpe94mqetrupe2f9wwec,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-18 10:24:08,osmosis,osmosis,osmosis,2847D5D5F72B42F41C13A7082881DA0B8AE8C242727C73C3FFC4623C5FF4173A,,lose,0.0025,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
